"QC Type";"AST";"Id";"qc_date";"name_media";"batch_no";"sterility_test_conclusion";"reported_by_pc";"ast";"conclusion_pc";"conclusion_gp";"qc_result";"comments";"qc_validated_set";"User ID"
"IQC";"no";"355";"2020-02-18";"Mannitol Salt Agar";"MSA180220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"357";"2020-02-18";"Kligler Iron Agar";"KIA180220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"359";"2020-02-18";"Simmons Citrate Agar ";"CIT180220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"yes";"361";"2020-02-18";"Mueller Hinton II Agar ";"MHII170220-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"363";"2020-02-18";"Urea Agar";"URE170220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"365";"2020-02-18";"Lysine Iron Agar";"LIA170220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"367";"2020-02-18";"Blood Agar";"BAP180220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"369";"2020-02-21";"Blood Agar";"BAP200220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"371";"2020-02-21";"Chocolate Agar";"CHOC200220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"373";"2020-02-21";"Chocolate Agar";"CHOC190220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"375";"2020-02-21";"Blood Agar";"BAP190220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"377";"2020-02-21";"Urea Agar";"URE190220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"379";"2020-02-21";"Thiosulfate Citrate Bile Salts Sucrose Agar ";"TCBS190220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"380";"2020-02-24";"Urea Agar";"URE240220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"382";"2020-02-24";"Lysine Iron Agar";"LIA240220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"384";"2020-02-24";"Mannitol Salt Agar";"MSA240220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"386";"2020-02-26";"Chocolate Agar";"CHOC250220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"vivian"
"IQC";"no";"388";"2020-02-25";"Simmons Citrate Agar ";"CIT250220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"ty.sovannara"
"IQC";"no";"390";"2020-02-21";"Blood Culture Bottle (adult)";"BHI A210220-01";"pass";"1";"1";"pass";"pass";"0";"Product in plastic bottles containing 40ml";"1";"ty.sovannara"
"IQC";"yes";"392";"2020-02-20";"Sheep Blood Mueller-Hinton Agar";"SMH250220-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"394";"2020-02-26";"Blood Agar";"BAP260220-01";"pass";"1";"1";"pass";"";"0";"";"1";"makteyka"
"IQC";"yes";"396";"2020-03-26";"Mueller Hinton II Agar ";"MHII260220-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"398";"2020-02-27";"Kligler Iron Agar";"KIA260220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"400";"2020-02-27";"Urea Agar";"URE260220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"402";"2020-02-28";"Mueller Hinton II Agar ";"MHII270220-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"404";"2020-02-28";"Lysine Iron Agar";"LIA270220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"406";"2020-02-28";"Urea Agar";"URE270220-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"408";"2020-03-03";"Chocolate Agar";"CHOC020320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"410";"2020-03-04";"Blood Culture Bottle (child)";"BHI P030320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"412";"2020-03-04";"Hektoen Enteric Agar";"HE040320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"414";"2020-03-04";"MacConkey Agar";"MAC040320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"416";"2020-03-04";"Mueller Hinton II Agar ";"MHII040320-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"418";"2020-03-06";"Kligler Iron Agar";"KIA050320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"420";"2020-03-10";"MacConkey Agar";"MAC090320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"422";"2020-03-10";"Blood Agar";"BAP100320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"424";"2020-03-11";"Ashdown's Agar";"ASHA050320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"426";"2020-03-06";"Simmons Citrate Agar ";"CIT050320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"428";"2020-03-10";"Blood Agar";"BAP100320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"430";"2020-03-16";"Mannitol Salt Agar";"MSA160320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"yes";"432";"2020-03-16";"Mueller Hinton II Agar ";"MHII160320-01";"pass";"1";"0";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"434";"2020-03-09";"Blood Culture Bottle (child)";"BHI P060320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"436";"2020-03-12";"Blood Culture Bottle (adult)";"BHI A110320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"438";"2020-03-12";"Blood Culture Bottle (adult)";"BHI A110320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"440";"2020-03-12";"Blood Culture Bottle (adult)";"BHI A120320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"442";"2020-03-12";"Blood Culture Bottle (adult)";"BHI A120320-02";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"444";"2020-03-16";"Hektoen Enteric Agar";"HE170320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
"IQC";"no";"446";"2020-03-18";"Urea Agar";"URE170320-01";"pass";"1";"1";"pass";"pass";"0";"";"1";"makteyka"
