"Customer name";"Media name";"Quantity";"Batch number";"Delivery date";"Media type";"Original ref";"Original quantity"
"Siem Reap";"Blood Agar";"70";"BAP180220-01";"2020-02-28";"Plate";"";""
"Siem Reap";"Blood Agar";"230";"BAP190220-01";"2020-02-28";"Plate";"";""
"Siem Reap";"Mannitol Salt Agar";"80";"MSA180220-01";"2020-02-28";"Plate";"";""
"Siem Reap";"Kligler Iron Agar";"130";"KIA180220-01";"2020-02-28";"Tube";"";""
"Siem Reap";"Lysine Iron Agar";"10";"LIA240220-01";"2020-02-28";"Tube";"";""
"Siem Reap";"Simmons Citrate Agar ";"130";"CIT180220-01";"2020-02-28";"Tube";"";""
"Siem Reap";"Urea Agar";"70";"URE190220-01";"2020-02-28";"Tube";"";""
"Siem Reap";"Urea Agar";"70";"URE240220-01";"2020-02-28";"Tube";"";""
"Sunrise Hospital";"Blood Agar";"70";"BAP180220-01";"2020-02-25";"Plate";"";""
"Sunrise Hospital";"Simmons Citrate Agar ";"40";"CIT180220-01";"2020-02-25";"Tube";"";""
"Sunrise Hospital";"Urea Agar";"20";"URE170220-01";"2020-02-25";"Tube";"";""
"Sunrise Hospital";"Urea Agar";"20";"URE190220-01";"2020-02-25";"Tube";"";""
"Central Media Making Laboratory";"Urea Agar";"20";"URE170220-01";"2020-02-27";"Tube";"";""
"Central Media Making Laboratory";"Blood Agar";"20";"BAP190220-01";"2020-02-27";"Plate";"";""
"Central Media Making Laboratory";"Urea Agar";"10";"URE190220-01";"2020-02-27";"Tube";"";""
"Kossamak";"Urea Agar";"40";"URE240220-01";"2020-02-28";"Tube";"";""
"Kossamak";"Lysine Iron Agar";"40";"LIA240220-01";"2020-02-28";"Tube";"";""
"Sihanouk Hospital Center of Hope";"Urea Agar";"240";"URE170220-01";"2020-03-02";"Tube";"";""
"Sihanouk Hospital Center of Hope";"Urea Agar";"40";"URE190220-01";"2020-03-02";"Tube";"";""
"Sihanouk Hospital Center of Hope";"Urea Agar";"170";"URE240220-01";"2020-03-02";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Mannitol Salt Agar";"80";"MSA180220-01";"2020-03-04";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"20";"URE170220-01";"2020-03-04";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"30";"URE270220-01";"2020-03-04";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Mannitol Salt Agar";"80";"MSA180220-01";"2020-03-04";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"40";"URE170220-01";"2020-03-04";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"40";"URE190220-01";"2020-03-04";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Blood Culture Bottle (adult)";"150";"BHI A210220-01";"2020-03-05";"Adult Bottle";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"70";"BAP190220-01";"2020-03-05";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Blood Agar";"130";"BAP200220-01";"2020-03-05";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Chocolate Agar";"40";"CHOC200220-01";"2020-03-05";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Mueller Hinton II Agar ";"100";"MHII260220-01";"2020-03-05";"Plate";"";""
"Takeo";"Chocolate Agar";"330";"CHOC190220-01";"2020-03-03";"Plate";"";""
"Takeo";"Chocolate Agar";"10";"CHOC200220-01";"2020-03-03";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"280";"MHII170220-01";"2020-03-03";"Plate";"";""
"Takeo";"Mueller Hinton II Agar ";"20";"MHII260220-01";"2020-03-03";"Plate";"";""
"Biobykin";"Blood Agar";"40";"BAP200220-01";"2020-03-05";"Plate";"";""
"Biobykin";"Chocolate Agar";"30";"CHOC200220-01";"2020-03-05";"Plate";"";""
"Biobykin";"Mueller Hinton II Agar ";"60";"MHII260220-01";"2020-03-05";"Plate";"";""
"Biobykin";"Kligler Iron Agar";"10";"KIA180220-01";"2020-03-05";"Tube";"";""
"Biobykin";"Lysine Iron Agar";"10";"LIA240220-01";"2020-03-05";"Tube";"";""
"Biobykin";"Simmons Citrate Agar ";"10";"CIT180220-01";"2020-03-05";"Tube";"";""
"Biobykin";"Urea Agar";"10";"URE270220-01";"2020-03-05";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Mannitol Salt Agar";"80";"MSA180220-01";"2020-03-05";"Plate";"";""
"Khmer Soviet Friendship Hospital";"Kligler Iron Agar";"60";"KIA180220-01";"2020-03-05";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Lysine Iron Agar";"30";"LIA240220-01";"2020-03-05";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Simmons Citrate Agar ";"80";"CIT180220-01";"2020-03-05";"Tube";"";""
"Khmer Soviet Friendship Hospital";"Urea Agar";"80";"URE270220-01";"2020-03-05";"Tube";"";""
